Mã tỉnh/Mã cơ quan,Mã huyện/Mã loại xe
11,A
11,B
11,B1
11,BL
11,BM
11,C
11,D
11,E
11,F
11,G
11,G1
11,H
11,H1
11,HA
11,HL
11,HQ
11,K1
11,L1
11,LD
11,M1
11,N1
11,NB
11,P1
11,QH
11,R
11,S1
11,T1
11,TA
11,TK
11,U1
11,V1
11,X1
11,Y1
11,Z1
12,A
12,B
12,B1
12,BA
12,C
12,D
12,D1
12,E
12,F
12,FA
12,G
12,H
12,H1
12,HA
12,L1
12,LA
12,LD
12,P1
12,PA
12,R
12,S1
12,SA
12,T1
12,TA
12,U1
12,UA
12,V1
12,VA
12,X1
12,XA
12,Z1
12,ZA
14,A
14,AA
14,AB
14,AH
14,AK
14,AL
14,AM
14,AN
14,AP
14,AS
14,AT
14,AU
14,AV
14,AX
14,AY
14,AZ
14,B
14,B1
14,B4
14,B9
14,BC
14,BL
14,C
14,CP
14,CT
14,D
14,DH
14,E
14,F
14,G
14,H
14,HB
14,HH
14,HL
14,K
14,K1
14,L1
14,LD
14,M1
14,MC
14,N1
14,P1
14,QY
14,R
14,S1
14,T1
14,TY
14,U1
14,UB
14,V1
14,VD
14,X1
14,Y1
14,Z1
15,A
15,AA
15,AB
15,AC
15,AE
15,AF
15,AG
15,AH
15,AK
15,AL
15,AM
15,AN
15,AP
15,AS
15,AT
15,B
15,B1
15,B2
15,B3
15,B4
15,C
15,C1
15,D
15,D1
15,E
15,E1
15,F
15,F1
15,G
15,G1
15,G2
15,H
15,H1
15,K
15,K1
15,L1
15,LD
15,M1
15,N1
15,P1
15,R
15,R1
15,RM
15,S1
17,A
17,AB
17,AC
17,AD
17,AE
17,AF
17,AG
17,AH
17,AL
17,AM
17,AN
17,AP
17,AS
17,AT
17,AU
17,AV
17,AX
17,AY
17,AZ
17,B
17,B1
17,B2
17,B3
17,B4
17,B5
17,B6
17,B7
17,B8
17,B9
17,C
17,D
17,E
17,F
17,G
17,H
17,KT
17,LD
17,R
18,A
18,B
18,B1
18,B2
18,B3
18,BA
18,C
18,C1
18,CA
18,D
18,D1
18,DA
18,E
18,E1
18,EA
18,F
18,F1
18,FA
18,G
18,G1
18,GA
18,H
18,H1
18,HA
18,K1
18,KA
18,L1
18,LA
18,LD
18,M1
18,MA
18,R
19,A
19,AA
19,AB
19,AC
19,AD
19,AE
19,AF
19,AG
19,AH
19,AK
19,AL
19,AM
19,AN
19,AP
19,AS
19,B
19,B1
19,C
19,C1
19,D
19,D1
19,E
19,E1
19,F
19,F1
19,G
19,G1
19,H
19,H1
19,K
19,K1
19,L1
19,LD
19,M1
19,N1
19,P1
19,R
19,S1
19,U1
20,A
20,AA
20,AB
20,AC
20,AD
20,AE
20,AF
20,AG
20,AH
20,AK
20,B
20,B1
20,B2
20,C
20,C1
20,D
20,D1
20,E
20,E1
20,F
20,F1
20,G
20,G1
20,H
20,H1
20,K
20,K1
20,L1
20,LD
20,R
21,A
21,AA
21,B
21,B1
21,B2
21,BA
21,C
21,C1
21,CA
21,D
21,D1
21,E
21,E1
21,EA
21,F
21,F1
21,FA
21,G
21,G1
21,GA
21,H
21,H1
21,HA
21,K1
21,KA
21,L1
21,LA
21,LD
21,R
22,A
22,AA
22,AB
22,B
22,B1
22,B2
22,C
22,D
22,E
22,F
22,F1
22,FA
22,G
22,H
22,L1
22,LA
22,LD
22,N1
22,R
22,S1
22,S2
22,SA
22,T1
22,TA
22,Y1
22,YA
22,
23,A
23,AA
23,AB
23,AC
23,AD
23,AE
23,AH
23,AK
23,AM
23,AU
23,AV
23,AX
23,AY
23,B
23,B1
23,C
23,D
23,D1
23,E
23,E1
23,F
23,F1
23,G
23,G1
23,H
23,H1
23,K1
23,L1
23,LD
23,M1
23,N1
23,P1
23,R
24,A
24,AA
24,AB
24,AC
24,AD
24,AE
24,AF
24,AG
24,AH
24,AK
24,B
24,B1
24,B2
24,B3
24,C
24,D
24,E
24,F
24,G
24,H
24,HB
24,LD
24,P1
24,R
24,S1
24,T1
24,U1
24,V1
24,X1
24,Y1
24,Z1
25,A
25,AA
25,AB
25,AH
25,AL
25,AM
25,AN
25,AP
25,AS
25,AT
25,AU
25,B
25,B1
25,C
25,D
25,E
25,F
25,F1
25,G
25,H
25,H1
25,L1
25,LD
25,LM
25,M1
25,N1
25,P1
25,R
25,S1
25,T1
25,U1
26,A
26,AA
26,AB
26,AC
26,AD
26,AE
26,AF
26,AG
26,AH
26,AK
26,AL
26,AM
26,AP
26,B
26,B1
26,C
26,C1
26,D
26,D1
26,E
26,E1
26,F
26,F1
26,G
26,G1
26,H
26,H1
26,K1
26,L1
26,LD
