epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.8338,1.97544,9.59398,2.04639,0.9499,0.07273,0.20101,0.1443,1.57356,7.56862,1.72599,0.000411932,0.000411932,0.000411932
2,65.0039,2.10114,6.83213,2.02295,0.41365,0.40265,0.45194,0.30443,1.93065,4.65396,1.93326,0.000821763,0.000821763,0.000821763
3,78.7954,2.13693,5.13275,2.06479,0.72581,0.337,0.5647,0.40236,1.79622,2.31333,1.86907,0.00122472,0.00122472,0.00122472
4,92.6865,2.05175,3.82828,2.03948,0.57572,0.50858,0.55518,0.39386,1.91213,1.87233,1.92897,0.00121906,0.00121906,0.00121906
5,106.416,1.98831,2.98883,2.04473,0.67867,0.5303,0.5762,0.43734,1.70442,1.73718,1.89411,0.00120875,0.00120875,0.00120875
6,120.138,2.03504,2.47027,2.0643,0.6621,0.55167,0.61851,0.49151,1.72676,1.49606,1.8507,0.00119844,0.00119844,0.00119844
7,133.541,1.91746,2.09792,2.04637,0.60778,0.76339,0.70751,0.52675,1.66773,1.20565,1.8723,0.00118812,0.00118812,0.00118812
8,146.874,1.83086,1.79028,2.00936,0.85919,0.61746,0.7765,0.57996,1.61703,1.1388,1.84482,0.00117781,0.00117781,0.00117781
9,160.213,1.84788,1.73638,2.04236,0.64311,0.72564,0.73952,0.5491,1.60766,1.27303,1.83386,0.0011675,0.0011675,0.0011675
10,173.635,1.79033,1.60551,1.99402,0.76009,0.82577,0.84462,0.64313,1.56517,1.08824,1.80813,0.00115719,0.00115719,0.00115719
11,187.375,1.75582,1.48945,1.98395,0.64014,0.70189,0.79494,0.58854,1.60514,1.08315,1.85238,0.00114688,0.00114688,0.00114688
12,201.306,1.70967,1.40887,1.989,0.87193,0.61958,0.80225,0.6298,1.51768,1.07774,1.82886,0.00113656,0.00113656,0.00113656
13,215.269,1.68922,1.31819,1.98234,0.76457,0.75412,0.81895,0.61274,1.37588,0.94832,1.787,0.00112625,0.00112625,0.00112625
14,229.24,1.70926,1.25593,1.99622,0.89211,0.63033,0.85389,0.65389,1.46076,1.00649,1.80481,0.00111594,0.00111594,0.00111594
15,243.032,1.64935,1.24417,1.96494,0.7813,0.87035,0.88372,0.70845,1.36384,0.91852,1.76457,0.00110563,0.00110563,0.00110563
16,256.892,1.56737,1.16757,1.9467,0.71375,0.85719,0.85694,0.65347,1.41,0.84343,1.76839,0.00109531,0.00109531,0.00109531
17,270.933,1.58321,1.148,1.94264,0.7923,0.80246,0.86953,0.68336,1.39775,1.05518,1.76149,0.001085,0.001085,0.001085
18,284.473,1.57764,1.11477,1.95901,0.86569,0.86,0.89814,0.68369,1.34486,0.84739,1.76803,0.00107469,0.00107469,0.00107469
19,298.262,1.53255,1.06258,1.92931,0.87083,0.85833,0.90684,0.64733,1.41828,0.82992,1.77938,0.00106437,0.00106437,0.00106437
20,311.992,1.54968,1.10535,1.94384,0.79067,0.73621,0.86208,0.69376,1.28872,1.03377,1.76022,0.00105406,0.00105406,0.00105406
21,325.603,1.51304,1.04898,1.92246,0.91281,0.82169,0.93407,0.69696,1.39009,0.93577,1.80144,0.00104375,0.00104375,0.00104375
22,339.183,1.51444,1.08761,1.93673,0.79258,0.91405,0.9101,0.72213,1.48825,0.89416,1.77538,0.00103344,0.00103344,0.00103344
23,352.95,1.56393,1.07391,1.93352,0.80813,0.88764,0.94084,0.70833,1.46883,0.86107,1.82178,0.00102312,0.00102312,0.00102312
24,366.561,1.50675,1.02353,1.9379,0.7064,0.88636,0.91318,0.68593,1.34595,0.96744,1.76833,0.00101281,0.00101281,0.00101281
25,380.251,1.46546,0.98812,1.9232,0.96924,0.7559,0.90479,0.6957,1.30494,0.83925,1.73754,0.0010025,0.0010025,0.0010025
