epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9958,1.82357,9.80104,2.01045,0.00211,0.5112,0.1295,0.10466,1.45198,8.78792,1.72253,0.000411523,0.000411523,0.000411523
2,62.9363,1.93195,6.90243,2.05531,0.69522,0.35082,0.45392,0.3331,1.89674,4.50219,1.9308,0.000821357,0.000821357,0.000821357
3,75.6559,1.90803,5.41571,2.09414,0.50081,0.56899,0.51434,0.37458,1.61437,2.28041,1.84988,0.00122432,0.00122432,0.00122432
4,88.2885,1.92156,3.91853,2.07311,0.57616,0.73574,0.72435,0.50466,1.57505,1.67519,1.99958,0.00121906,0.00121906,0.00121906
5,100.897,1.82317,3.13894,2.08918,0.66424,0.55147,0.66301,0.45856,1.63942,1.60241,2.28515,0.00120875,0.00120875,0.00120875
6,113.118,1.80399,2.50255,2.03562,0.76558,0.67398,0.75498,0.55026,1.79117,1.36411,2.00854,0.00119844,0.00119844,0.00119844
7,125.498,1.77058,2.14082,2.06588,0.61673,0.76725,0.7097,0.51299,1.45012,1.58468,1.91752,0.00118812,0.00118812,0.00118812
8,138.161,1.70423,1.83456,2.02543,0.70523,0.61625,0.78076,0.59228,1.43884,1.3342,1.92616,0.00117781,0.00117781,0.00117781
9,150.845,1.60786,1.59466,1.96985,0.62862,0.8306,0.80847,0.61301,1.4018,1.25427,1.81814,0.0011675,0.0011675,0.0011675
10,163.128,1.59699,1.48488,1.98245,0.77778,0.80676,0.83747,0.59303,1.35163,1.17091,1.9087,0.00115719,0.00115719,0.00115719
11,175.399,1.57617,1.41354,1.99806,0.67454,0.68873,0.8407,0.59238,1.39527,1.19427,2.0809,0.00114688,0.00114688,0.00114688
12,188.052,1.54488,1.31879,1.96861,0.83097,0.73809,0.85909,0.64777,1.31782,1.13733,1.83287,0.00113656,0.00113656,0.00113656
13,200.768,1.49643,1.23725,1.93304,0.73772,0.76758,0.84509,0.62434,1.24607,1.10798,1.89777,0.00112625,0.00112625,0.00112625
14,213.243,1.4615,1.15819,1.94475,0.7879,0.71879,0.85058,0.62553,1.2667,1.04544,1.87365,0.00111594,0.00111594,0.00111594
15,225.359,1.45669,1.13811,1.92998,0.83842,0.74002,0.89375,0.65873,1.21702,1.0139,1.97216,0.00110563,0.00110563,0.00110563
16,237.894,1.45534,1.09193,1.92048,0.90535,0.83786,0.93785,0.67439,1.23247,1.03382,1.89311,0.00109531,0.00109531,0.00109531
17,250.475,1.44571,1.0804,1.93022,0.93965,0.75383,0.89424,0.65739,1.22934,0.9401,1.92674,0.001085,0.001085,0.001085
18,263.082,1.38459,0.99269,1.90943,0.94012,0.81476,0.89023,0.68223,1.20327,0.88508,1.9298,0.00107469,0.00107469,0.00107469
19,275.205,1.39802,1.01614,1.90521,0.71946,0.88545,0.86083,0.66614,1.17732,0.91905,1.93426,0.00106437,0.00106437,0.00106437
20,287.626,1.4065,0.99066,1.92495,0.64747,0.91237,0.86573,0.64556,1.25343,0.91344,2.04504,0.00105406,0.00105406,0.00105406
21,300.093,1.37601,0.96733,1.90759,0.87253,0.84495,0.93537,0.7065,1.22672,0.87081,1.7948,0.00104375,0.00104375,0.00104375
22,312.606,1.34957,0.92628,1.88672,0.84355,0.83337,0.90257,0.67219,1.20175,0.90299,1.97998,0.00103344,0.00103344,0.00103344
23,324.957,1.34838,0.98156,1.89527,0.90184,0.87489,0.92434,0.72151,1.25022,1.0186,1.98113,0.00102312,0.00102312,0.00102312
24,337.464,1.36279,0.9169,1.90512,0.76958,0.84055,0.87597,0.67815,1.22788,0.83789,2.03022,0.00101281,0.00101281,0.00101281
25,350.082,1.3223,0.88329,1.87315,0.9229,0.81198,0.93407,0.74182,1.10481,0.79658,1.85184,0.0010025,0.0010025,0.0010025
26,362.654,1.34464,0.88251,1.8847,0.97196,0.75393,0.93796,0.73169,1.12535,0.77495,1.9335,0.000992188,0.000992188,0.000992188
27,375.09,1.29939,0.84029,1.87791,0.81754,0.96018,0.93745,0.70648,1.10459,0.78326,1.9118,0.000981875,0.000981875,0.000981875
28,387.563,1.28942,0.8284,1.87407,0.79017,0.8736,0.92275,0.71295,1.10689,0.72397,1.92083,0.000971562,0.000971562,0.000971562
29,399.961,1.25766,0.81822,1.87302,0.85895,0.89352,0.93446,0.73714,1.04876,0.71022,1.93133,0.00096125,0.00096125,0.00096125
30,412.488,1.25788,0.77166,1.86756,0.82109,0.92137,0.95885,0.7245,1.1609,0.76877,1.87109,0.000950937,0.000950937,0.000950937
31,425.047,1.25041,0.82372,1.84702,0.88786,0.95076,0.9639,0.73948,1.10502,0.76617,1.88777,0.000940625,0.000940625,0.000940625
32,437.35,1.24475,0.77977,1.85801,0.82775,0.93636,0.94076,0.74372,1.04738,0.68263,1.86202,0.000930313,0.000930313,0.000930313
33,449.757,1.2896,0.79813,1.87929,0.87505,0.87537,0.92891,0.71669,1.04661,0.74994,1.90292,0.00092,0.00092,0.00092
34,462.323,1.22264,0.77143,1.87162,0.85886,0.84333,0.92065,0.71416,1.08267,0.69562,1.90943,0.000909688,0.000909688,0.000909688
35,474.829,1.22295,0.75691,1.86175,0.98565,0.86719,0.96776,0.76269,1.05966,0.63721,1.90331,0.000899375,0.000899375,0.000899375
36,487.353,1.19788,0.75217,1.86504,0.90234,0.86672,0.95581,0.74396,1.05551,0.67288,1.91833,0.000889062,0.000889062,0.000889062
37,499.539,1.22859,0.76542,1.84853,0.87276,0.79651,0.90811,0.73442,1.08305,0.72521,1.93209,0.00087875,0.00087875,0.00087875
38,512.131,1.14262,0.72209,1.83562,0.94252,0.77884,0.94217,0.77215,1.02871,0.7018,1.90272,0.000868437,0.000868437,0.000868437
39,524.619,1.2342,0.7636,1.8695,0.97144,0.87839,0.94994,0.72391,1.06725,0.70207,1.91371,0.000858125,0.000858125,0.000858125
40,537.078,1.17739,0.70979,1.83958,0.92196,0.84146,0.92185,0.75163,1.02326,0.65032,1.88623,0.000847813,0.000847813,0.000847813
41,549.27,1.16814,0.72294,1.83281,0.9223,0.88626,0.96558,0.77174,0.97643,0.59477,1.86183,0.0008375,0.0008375,0.0008375
42,561.753,1.15422,0.71301,1.83043,0.91157,0.94976,0.95741,0.76716,1.02171,0.63218,1.86254,0.000827187,0.000827187,0.000827187
43,574.501,1.15248,0.71185,1.83139,0.91725,0.90754,0.96461,0.76454,1.06197,0.63532,1.90951,0.000816875,0.000816875,0.000816875
44,586.913,1.17107,0.7057,1.83676,0.92212,0.80923,0.93922,0.76317,1.02357,0.63479,1.88545,0.000806562,0.000806562,0.000806562
45,599.121,1.11666,0.6752,1.82338,0.95639,0.90678,0.96698,0.75537,1.0414,0.64292,1.85618,0.00079625,0.00079625,0.00079625
46,611.383,1.14546,0.68932,1.8204,0.90259,0.91768,0.96352,0.75939,0.99815,0.75097,1.8179,0.000785938,0.000785938,0.000785938
47,623.911,1.13473,0.66603,1.80617,0.91575,0.82296,0.93346,0.74006,1.03324,0.72146,1.8004,0.000775625,0.000775625,0.000775625
48,636.628,1.11901,0.70119,1.81675,0.92853,0.90336,0.93863,0.76112,1.01225,0.63988,1.85161,0.000765313,0.000765313,0.000765313
49,648.971,1.09192,0.66158,1.79398,0.98495,0.86222,0.9444,0.72772,1.07358,0.63522,1.92546,0.000755,0.000755,0.000755
50,661.194,1.09519,0.64497,1.79755,0.94437,0.86878,0.93323,0.74946,0.97357,0.60044,1.81979,0.000744688,0.000744688,0.000744688
51,673.645,1.09628,0.66932,1.80824,0.92252,0.86708,0.95683,0.75166,1.01257,0.60702,1.86713,0.000734375,0.000734375,0.000734375
52,686.346,1.07025,0.64982,1.81446,0.97786,0.78603,0.9494,0.78222,1.01713,0.59487,1.86504,0.000724062,0.000724062,0.000724062
53,698.828,1.07924,0.64567,1.79312,0.90685,0.87552,0.95717,0.74576,1.04851,0.67934,1.85902,0.00071375,0.00071375,0.00071375
54,711.094,1.02764,0.60848,1.78845,0.91405,0.91386,0.97138,0.77533,0.97863,0.57862,1.85317,0.000703437,0.000703437,0.000703437
55,723.5,1.03885,0.60795,1.79111,0.89425,0.89931,0.96322,0.77175,0.9936,0.60014,1.85085,0.000693125,0.000693125,0.000693125
56,736.09,1.03034,0.5934,1.76704,0.86064,0.9487,0.96059,0.77725,1.00967,0.59321,1.87964,0.000682813,0.000682813,0.000682813
57,748.59,1.06876,0.63288,1.78595,0.9068,0.89387,0.94307,0.76709,0.99447,0.57244,1.88119,0.0006725,0.0006725,0.0006725
58,760.757,1.03656,0.59877,1.7824,0.87198,0.80246,0.92115,0.72984,1.04076,0.69686,1.89742,0.000662188,0.000662188,0.000662188
59,773.099,1.03075,0.59291,1.76786,0.94593,0.92401,0.96884,0.78643,0.94713,0.54108,1.85027,0.000651875,0.000651875,0.000651875
60,785.616,1.00691,0.60684,1.77782,0.97863,0.90442,0.96944,0.78346,0.97098,0.57074,1.88045,0.000641562,0.000641562,0.000641562
61,798.31,1.04374,0.61419,1.79467,0.92457,0.90651,0.95694,0.78965,1.01874,0.67026,1.85352,0.00063125,0.00063125,0.00063125
62,810.777,1.00723,0.59035,1.76726,0.96562,0.87318,0.93842,0.76981,1.00216,0.58874,1.87737,0.000620938,0.000620938,0.000620938
63,823.007,0.98193,0.58725,1.78539,0.87419,0.91901,0.9383,0.76779,1.00082,0.58421,1.90602,0.000610625,0.000610625,0.000610625
64,835.453,0.9877,0.58624,1.76814,0.9331,0.92437,0.95418,0.76014,0.95562,0.61328,1.84268,0.000600313,0.000600313,0.000600313
65,847.893,0.99825,0.55994,1.7734,0.92021,0.91106,0.96111,0.78483,0.97096,0.56864,1.85911,0.00059,0.00059,0.00059
66,860.416,0.98244,0.59683,1.77714,0.91116,0.89859,0.9561,0.77036,1.0071,0.59667,1.90244,0.000579688,0.000579688,0.000579688
67,872.668,0.94881,0.56577,1.77416,0.92598,0.93681,0.96958,0.77484,1.00144,0.54386,1.88502,0.000569375,0.000569375,0.000569375
68,885.174,0.97206,0.57421,1.75924,0.94991,0.88141,0.95353,0.77932,0.99375,0.5741,1.88266,0.000559062,0.000559062,0.000559062
69,897.679,0.95948,0.57086,1.76393,0.90126,0.80091,0.91681,0.75524,0.96916,0.61328,1.85062,0.00054875,0.00054875,0.00054875
70,910.162,0.97122,0.56595,1.77613,0.8743,0.91452,0.93788,0.77442,0.98038,0.63117,1.88225,0.000538438,0.000538438,0.000538438
71,922.285,0.98635,0.56635,1.76507,0.9596,0.78942,0.93797,0.76942,0.97181,0.57702,1.84954,0.000528125,0.000528125,0.000528125
72,934.997,0.94792,0.53889,1.74341,0.91227,0.89157,0.95674,0.7844,0.93607,0.57143,1.82593,0.000517813,0.000517813,0.000517813
73,947.467,0.96257,0.55067,1.75328,0.94199,0.88354,0.96758,0.74834,0.98414,0.60074,1.84866,0.0005075,0.0005075,0.0005075
74,960.128,0.94315,0.55616,1.75549,0.93127,0.90989,0.96554,0.7846,0.96781,0.57541,1.85709,0.000497188,0.000497188,0.000497188
75,972.345,0.93549,0.5394,1.75667,0.91135,0.89909,0.95475,0.76001,0.96485,0.56107,1.84713,0.000486875,0.000486875,0.000486875
76,984.592,0.97007,0.55313,1.7703,0.88606,0.93178,0.95851,0.78031,0.98159,0.56292,1.86592,0.000476562,0.000476562,0.000476562
77,997.218,0.94485,0.55062,1.75122,0.93989,0.83236,0.94537,0.74256,0.9593,0.58466,1.84171,0.00046625,0.00046625,0.00046625
78,1009.77,0.90668,0.51532,1.73463,0.98377,0.86766,0.97422,0.78208,0.99799,0.52482,1.88323,0.000455937,0.000455937,0.000455937
79,1022.38,0.91631,0.52304,1.76228,0.87306,0.86915,0.95228,0.77893,0.94755,0.56536,1.85344,0.000445625,0.000445625,0.000445625
80,1034.65,0.9012,0.52767,1.74519,0.8839,0.96574,0.96806,0.77992,0.97025,0.55367,1.87867,0.000435312,0.000435312,0.000435312
81,1047.12,0.91333,0.54293,1.7509,0.87135,0.89777,0.95921,0.74871,0.9497,0.5475,1.85742,0.000425,0.000425,0.000425
82,1059.83,0.854,0.48861,1.74194,0.89875,0.84792,0.93345,0.75743,0.96396,0.57257,1.87765,0.000414688,0.000414688,0.000414688
83,1072.21,0.85681,0.48135,1.74152,0.88418,0.96652,0.96207,0.76835,0.95029,0.5405,1.86084,0.000404375,0.000404375,0.000404375
84,1084.45,0.89777,0.50399,1.73813,0.9397,0.88494,0.95265,0.76964,0.96807,0.55849,1.84653,0.000394063,0.000394063,0.000394063
85,1096.89,0.874,0.50593,1.73179,0.95606,0.92807,0.97137,0.77284,0.95318,0.52793,1.84365,0.00038375,0.00038375,0.00038375
86,1109.46,0.86091,0.49632,1.72527,0.94548,0.8976,0.95968,0.76694,0.95083,0.55232,1.83677,0.000373437,0.000373437,0.000373437
87,1122.02,0.87879,0.50192,1.73023,0.91363,0.92191,0.97785,0.80846,0.92895,0.5604,1.85135,0.000363125,0.000363125,0.000363125
88,1134.22,0.82489,0.46486,1.72299,0.94589,0.90947,0.97238,0.80598,0.9273,0.5445,1.84163,0.000352812,0.000352812,0.000352812
89,1146.66,0.83541,0.49047,1.71725,0.97521,0.89453,0.9735,0.79957,0.94373,0.54968,1.85506,0.0003425,0.0003425,0.0003425
90,1159.31,0.8519,0.4894,1.72535,0.88854,0.97069,0.96742,0.76999,0.9242,0.54455,1.84066,0.000332187,0.000332187,0.000332187
91,1171.95,0.8487,0.48008,1.72374,0.95465,0.92569,0.97894,0.7899,0.93958,0.51393,1.8488,0.000321875,0.000321875,0.000321875
92,1184.42,0.84078,0.46915,1.71176,0.92471,0.92319,0.96829,0.78976,0.90576,0.50742,1.83431,0.000311563,0.000311563,0.000311563
93,1196.81,0.8276,0.46834,1.70808,0.90022,0.95627,0.97181,0.78688,0.92078,0.51576,1.84423,0.00030125,0.00030125,0.00030125
94,1209.3,0.83318,0.46219,1.71221,0.82479,0.9675,0.9748,0.78058,0.91669,0.50682,1.82705,0.000290937,0.000290937,0.000290937
95,1221.79,0.80989,0.45904,1.69676,0.96849,0.93983,0.97992,0.8147,0.92247,0.53111,1.8197,0.000280625,0.000280625,0.000280625
96,1234.29,0.79498,0.465,1.71501,0.89054,0.94303,0.97901,0.79734,0.9146,0.50751,1.82018,0.000270313,0.000270313,0.000270313
97,1246.67,0.76119,0.44327,1.70571,0.90759,0.89273,0.9733,0.80215,0.92379,0.5406,1.83281,0.00026,0.00026,0.00026
98,1259.22,0.77778,0.4491,1.72173,0.95338,0.93823,0.97749,0.779,0.92442,0.54879,1.82049,0.000249687,0.000249687,0.000249687
99,1271.71,0.78165,0.45008,1.70875,0.96233,0.90105,0.97454,0.78628,0.93757,0.53069,1.84516,0.000239375,0.000239375,0.000239375
100,1284.26,0.78149,0.44716,1.71321,0.96673,0.91919,0.97781,0.7849,0.92642,0.52419,1.83074,0.000229063,0.000229063,0.000229063
101,1296.57,0.76106,0.4386,1.70135,0.89837,0.94719,0.977,0.79679,0.89591,0.54761,1.82012,0.00021875,0.00021875,0.00021875
102,1309.01,0.79079,0.43803,1.70912,0.90781,0.90184,0.96614,0.81086,0.90247,0.52757,1.80056,0.000208438,0.000208438,0.000208438
103,1321.55,0.75981,0.44175,1.68499,0.96731,0.87825,0.9667,0.78797,0.89663,0.54522,1.81346,0.000198125,0.000198125,0.000198125
104,1334.1,0.74688,0.44338,1.69168,0.956,0.89887,0.97833,0.8019,0.91145,0.50203,1.8103,0.000187813,0.000187813,0.000187813
105,1346.31,0.75509,0.42704,1.69576,0.96013,0.91927,0.97067,0.81562,0.91399,0.50364,1.81715,0.0001775,0.0001775,0.0001775
106,1358.58,0.75287,0.41957,1.6911,0.94645,0.85025,0.96339,0.79857,0.89556,0.51318,1.80924,0.000167188,0.000167188,0.000167188
107,1371.21,0.73994,0.42092,1.68814,0.96592,0.90565,0.97026,0.80067,0.90067,0.5083,1.81581,0.000156875,0.000156875,0.000156875
108,1383.7,0.73771,0.42614,1.6898,0.96181,0.91266,0.97337,0.79519,0.89947,0.49801,1.82772,0.000146562,0.000146562,0.000146562
109,1396.03,0.74537,0.42484,1.69679,0.9184,0.91719,0.97583,0.80674,0.91162,0.51915,1.82094,0.00013625,0.00013625,0.00013625
