epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.6349,1.85518,7.92164,1.97585,0.73638,0.24009,0.5209,0.38612,1.6948,10.255,1.92922,0.000658333,0.000658333,0.000658333
2,60.092,2.00772,5.17561,2.00079,0.78666,0.72656,0.84277,0.62649,1.56559,3.5503,1.938,0.00131407,0.00131407,0.00131407
3,72.6324,2.14394,3.65883,2.07973,0.75998,0.78906,0.82654,0.6201,1.7103,2.36452,2.02496,0.0019588,0.0019588,0.0019588
4,84.9573,2.05176,2.42883,2.02814,0.7553,0.64062,0.7263,0.54036,1.75998,1.96685,2.06126,0.0019505,0.0019505,0.0019505
5,97.4903,2.0017,1.86599,2.01366,0.91707,0.79688,0.89064,0.69755,1.55768,1.15788,1.93607,0.001934,0.001934,0.001934
6,109.78,1.94293,1.64798,2.01264,0.84255,0.79688,0.87533,0.70155,1.47417,1.18706,1.89596,0.0019175,0.0019175,0.0019175
7,121.947,1.8854,1.50497,1.95982,0.92542,0.87251,0.95043,0.75381,1.42239,0.97104,1.84934,0.001901,0.001901,0.001901
8,134.358,1.80441,1.3396,1.94913,0.87533,0.82282,0.92047,0.73872,1.3644,0.9681,1.84671,0.0018845,0.0018845,0.0018845
9,146.576,1.78766,1.25212,1.92772,0.89926,0.83686,0.92339,0.72471,1.34231,1.05399,1.82191,0.001868,0.001868,0.001868
10,158.862,1.72919,1.22291,1.902,0.92383,0.86719,0.94352,0.77037,1.30936,0.92376,1.80473,0.0018515,0.0018515,0.0018515
11,171.024,1.69678,1.16378,1.89877,0.91151,0.8852,0.9667,0.79345,1.249,0.81103,1.77866,0.001835,0.001835,0.001835
12,183.478,1.67727,1.05795,1.87166,0.97387,0.87366,0.95513,0.77504,1.27219,0.7986,1.79888,0.0018185,0.0018185,0.0018185
13,195.946,1.63122,1.03235,1.87481,0.96509,0.86394,0.95803,0.77293,1.28944,0.77393,1.81264,0.001802,0.001802,0.001802
14,208.148,1.5872,1.00586,1.84543,0.95228,0.84375,0.96115,0.80114,1.26862,0.73562,1.78176,0.0017855,0.0017855,0.0017855
15,220.164,1.5723,0.9682,1.84887,0.87395,0.92085,0.95933,0.7905,1.22594,0.76112,1.7615,0.001769,0.001769,0.001769
16,232.381,1.52741,0.95885,1.83643,0.92645,0.92969,0.978,0.81144,1.18585,0.71539,1.766,0.0017525,0.0017525,0.0017525
17,244.807,1.5331,0.97543,1.83375,0.93903,0.89062,0.9733,0.81848,1.15008,0.62428,1.738,0.001736,0.001736,0.001736
18,257.076,1.50156,0.91736,1.82169,0.88463,0.97656,0.97401,0.80581,1.2022,0.65698,1.7526,0.0017195,0.0017195,0.0017195
19,268.982,1.50416,0.93065,1.81993,0.95079,0.90571,0.97561,0.81817,1.16799,0.63752,1.74681,0.001703,0.001703,0.001703
20,281.258,1.5187,0.90074,1.84932,0.90975,0.92188,0.97015,0.81273,1.23484,0.66538,1.76196,0.0016865,0.0016865,0.0016865
