epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,42.6616,0.41302,4.68706,0.14006,0.95943,0.96094,0.96338,0.85293,0.15193,0.39186,0.04857,0.000658436,0.000658436,0.000658436
2,76.8946,0.25971,0.39742,0.0582,nan,0.70312,0.66613,0.56879,nan,nan,nan,0.00131417,0.00131417,0.00131417
3,110.641,0.27418,0.3934,0.07518,0.918,0.87464,0.94208,0.77581,0.22059,0.47761,0.08265,0.00195891,0.00195891,0.00195891
4,143.799,0.29059,0.44843,0.07273,0.93636,0.88281,0.9339,0.74986,0.34573,0.4086,0.12385,0.0019505,0.0019505,0.0019505
5,176.895,0.30962,0.51097,0.08183,nan,0.85938,0.6226,0.41346,nan,nan,nan,0.001934,0.001934,0.001934
6,210.058,0.30204,0.46059,0.07365,0.94663,0.92969,0.98507,0.83707,0.18868,0.32874,0.05567,0.0019175,0.0019175,0.0019175
7,243.205,0.24735,0.39569,0.06433,0.9902,0.9375,0.96068,0.82939,0.23876,0.30236,0.07197,0.001901,0.001901,0.001901
8,276.212,0.27435,0.4182,0.06542,0.98294,0.97656,0.99225,0.85536,0.16095,0.3568,0.04648,0.0018845,0.0018845,0.0018845
9,309.698,0.24616,0.38821,0.0578,0.94529,0.92188,0.9714,0.8426,0.15793,0.34637,0.04323,0.001868,0.001868,0.001868
10,342.554,0.21898,0.35434,0.05263,0.97358,0.96875,0.99316,0.86674,0.16415,0.27386,0.04696,0.0018515,0.0018515,0.0018515
11,375.778,0.22154,0.33297,0.05193,0.99018,0.95312,0.99082,0.86444,0.17103,0.29285,0.04898,0.001835,0.001835,0.001835
12,408.711,0.20333,0.32026,0.04707,0.99109,0.96875,0.9907,0.87405,0.15661,0.31601,0.04433,0.0018185,0.0018185,0.0018185
13,442.149,0.19908,0.33132,0.04414,nan,0.99219,0.99007,0.87484,nan,nan,nan,0.001802,0.001802,0.001802
14,475.468,0.21423,0.32211,0.05206,nan,0.79688,0.79011,0.67887,nan,nan,nan,0.0017855,0.0017855,0.0017855
15,508.613,0.20782,0.32177,0.04758,0.99192,0.95908,0.98851,0.87128,0.15277,0.26638,0.04024,0.001769,0.001769,0.001769
16,541.709,0.20792,0.31158,0.04902,0.98279,0.96094,0.98511,0.874,0.15443,0.30243,0.04002,0.0017525,0.0017525,0.0017525
17,574.889,0.19583,0.35641,0.0475,nan,0.67188,0.66829,0.57283,nan,nan,nan,0.001736,0.001736,0.001736
18,607.973,0.21311,0.32744,0.04953,0.98174,0.96875,0.97919,0.85679,0.17735,0.39602,0.05071,0.0017195,0.0017195,0.0017195
19,641.018,0.20397,0.33123,0.04668,nan,0.96875,0.95732,0.84322,nan,nan,nan,0.001703,0.001703,0.001703
20,674.246,0.23088,0.41593,0.05579,nan,0.96875,0.95824,0.85056,nan,nan,nan,0.0016865,0.0016865,0.0016865
21,707.445,0.21791,0.3502,0.05665,0.98409,0.96656,0.98711,0.85718,0.16616,0.31153,0.04611,0.00167,0.00167,0.00167
