epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.934,1.76413,7.92384,1.93132,0.79365,0.09028,0.41637,0.30467,1.54293,10.6372,1.87258,0.000658436,0.000658436,0.000658436
2,61.0459,1.92713,5.03058,1.96922,0.81237,0.67652,0.77305,0.57602,1.69789,4.42153,2.06929,0.00131417,0.00131417,0.00131417
3,73.7929,2.07347,3.59728,2.05081,0.6977,0.7573,0.77443,0.56682,1.7699,3.3285,2.01071,0.00195891,0.00195891,0.00195891
4,86.2149,2.06608,2.49073,2.0252,0.79095,0.74219,0.82226,0.6103,1.6388,1.74302,1.97402,0.0019505,0.0019505,0.0019505
5,98.5684,1.91566,1.95643,1.99758,0.87672,0.79688,0.89851,0.68267,1.65432,1.16053,1.97982,0.001934,0.001934,0.001934
6,111.13,1.92895,1.68039,1.97716,0.89473,0.74219,0.86985,0.68763,1.49377,1.22179,1.90029,0.0019175,0.0019175,0.0019175
7,123.732,1.88848,1.60046,1.98189,0.87749,0.78342,0.8995,0.71417,1.3963,1.31276,1.84094,0.001901,0.001901,0.001901
8,136.559,1.76404,1.37911,1.91093,0.88855,0.80976,0.9101,0.72476,1.42056,0.97436,1.85543,0.0018845,0.0018845,0.0018845
9,149.05,1.67453,1.25804,1.91548,0.91903,0.88675,0.9505,0.77757,1.25276,0.87361,1.83216,0.001868,0.001868,0.001868
10,161.644,1.65793,1.16625,1.89261,0.88096,0.86727,0.94653,0.78502,1.27231,0.85693,1.83693,0.0018515,0.0018515,0.0018515
11,174.302,1.68783,1.17081,1.88576,0.8856,0.84672,0.94118,0.75024,1.34357,0.81831,1.84448,0.001835,0.001835,0.001835
12,186.949,1.6033,1.09975,1.85783,0.9337,0.875,0.9717,0.79021,1.26767,0.80717,1.81188,0.0018185,0.0018185,0.0018185
13,199.69,1.52475,1.03844,1.85124,0.98184,0.84462,0.97406,0.7895,1.27474,0.78121,1.78541,0.001802,0.001802,0.001802
14,212.224,1.52019,0.97042,1.84609,0.92286,0.83594,0.94987,0.77545,1.25676,0.80158,1.77832,0.0017855,0.0017855,0.0017855
15,224.804,1.57688,0.98542,1.84867,0.92382,0.85273,0.94942,0.79179,1.23448,0.76161,1.78762,0.001769,0.001769,0.001769
16,237.506,1.53848,0.95875,1.82891,0.93461,0.92188,0.97851,0.79895,1.25297,0.70356,1.79259,0.0017525,0.0017525,0.0017525
17,250.034,1.57921,0.98093,1.84922,0.90056,0.92969,0.97017,0.79129,1.2039,0.74217,1.78267,0.001736,0.001736,0.001736
18,262.782,1.44531,0.90191,1.81314,0.98115,0.88281,0.96885,0.81664,1.2022,0.67974,1.77428,0.0017195,0.0017195,0.0017195
19,275.049,1.47086,0.92863,1.82639,0.90466,0.9375,0.97235,0.83019,1.11745,0.6391,1.76081,0.001703,0.001703,0.001703
20,287.623,1.49224,0.91108,1.82415,0.95158,0.92112,0.98396,0.83468,1.15665,0.604,1.75616,0.0016865,0.0016865,0.0016865
21,300.235,1.43046,0.87559,1.81264,0.95185,0.92664,0.98094,0.82306,1.14016,0.63104,1.75838,0.00167,0.00167,0.00167
22,313.039,1.41803,0.88903,1.80876,0.91488,0.91406,0.96696,0.82042,1.14637,0.65461,1.75397,0.0016535,0.0016535,0.0016535
23,325.481,1.43722,0.8723,1.82167,0.95222,0.93414,0.98684,0.83619,1.15213,0.5852,1.7555,0.001637,0.001637,0.001637
24,337.985,1.41748,0.87147,1.81036,0.96679,0.90962,0.98328,0.82514,1.13203,0.61607,1.72548,0.0016205,0.0016205,0.0016205
25,350.656,1.37902,0.82248,1.79721,0.9787,0.92969,0.98884,0.84779,1.05988,0.53057,1.72426,0.001604,0.001604,0.001604
26,363.454,1.42348,0.83365,1.78842,0.95707,0.92188,0.97697,0.82072,1.18267,0.62666,1.75069,0.0015875,0.0015875,0.0015875
27,376.074,1.34969,0.79612,1.78718,0.92149,0.91703,0.9652,0.81706,1.11754,0.63344,1.74898,0.001571,0.001571,0.001571
28,388.531,1.36177,0.78924,1.78311,0.90518,0.92969,0.97573,0.83604,1.1079,0.60792,1.74451,0.0015545,0.0015545,0.0015545
29,401.175,1.32213,0.783,1.76644,0.93825,0.94965,0.98553,0.84489,1.04898,0.52803,1.71809,0.001538,0.001538,0.001538
30,414.013,1.29888,0.7323,1.75945,0.96315,0.95312,0.98818,0.85907,1.03171,0.55643,1.73033,0.0015215,0.0015215,0.0015215
31,426.699,1.31115,0.74171,1.76928,0.91822,0.96875,0.98563,0.83352,1.12321,0.5521,1.74094,0.001505,0.001505,0.001505
32,439.299,1.32646,0.76421,1.78209,0.91374,0.95312,0.98177,0.86041,1.0229,0.541,1.70685,0.0014885,0.0014885,0.0014885
33,451.857,1.31822,0.75244,1.757,0.93467,0.9375,0.98357,0.84937,1.04642,0.56139,1.70445,0.001472,0.001472,0.001472
34,464.571,1.31579,0.73803,1.75897,0.93066,0.94374,0.98224,0.8574,1.07814,0.55071,1.73686,0.0014555,0.0014555,0.0014555
35,477.265,1.2763,0.72181,1.76413,0.94898,0.95312,0.98636,0.84026,1.07194,0.63845,1.71567,0.001439,0.001439,0.001439
36,489.922,1.23542,0.70667,1.77966,0.94546,0.9375,0.98429,0.85046,1.06063,0.54675,1.72677,0.0014225,0.0014225,0.0014225
37,502.509,1.29389,0.74853,1.7736,0.95047,0.89949,0.97121,0.84035,1.05956,0.59479,1.71941,0.001406,0.001406,0.001406
38,514.964,1.24711,0.7027,1.74706,0.96668,0.90671,0.9868,0.85504,0.9971,0.51729,1.69378,0.0013895,0.0013895,0.0013895
39,527.58,1.33336,0.75015,1.77768,0.95126,0.91477,0.98048,0.83664,1.12573,0.56117,1.76299,0.001373,0.001373,0.001373
40,540.3,1.28008,0.72911,1.77262,0.97508,0.91716,0.98444,0.8555,1.05976,0.55707,1.73814,0.0013565,0.0013565,0.0013565
41,552.786,1.25746,0.72456,1.76869,0.95966,0.96875,0.98512,0.84186,1.04377,0.52345,1.7211,0.00134,0.00134,0.00134
42,565.183,1.23732,0.69119,1.75758,0.96042,0.97656,0.98981,0.86452,1.01521,0.48103,1.71925,0.0013235,0.0013235,0.0013235
43,577.702,1.21951,0.71264,1.75968,0.97932,0.94531,0.99015,0.84386,1.07189,0.51173,1.71562,0.001307,0.001307,0.001307
44,590.139,1.21934,0.68708,1.74154,0.99164,0.92704,0.9902,0.85774,1.00422,0.47609,1.68595,0.0012905,0.0012905,0.0012905
45,602.847,1.2109,0.67232,1.75827,0.93845,0.9529,0.98622,0.8569,1.02826,0.49604,1.72018,0.001274,0.001274,0.001274
46,615.408,1.2148,0.68102,1.75522,0.96822,0.99219,0.99026,0.85435,1.03289,0.4915,1.70476,0.0012575,0.0012575,0.0012575
47,627.861,1.20184,0.65667,1.74614,0.9442,0.9254,0.97579,0.84658,1.05632,0.56312,1.72396,0.001241,0.001241,0.001241
48,640.318,1.19182,0.66143,1.74856,0.94795,0.96875,0.98588,0.86513,0.99986,0.50713,1.71963,0.0012245,0.0012245,0.0012245
49,652.889,1.19808,0.6499,1.73967,0.95132,0.96875,0.99002,0.86842,1.04843,0.50089,1.71629,0.001208,0.001208,0.001208
50,665.626,1.14905,0.64033,1.73664,0.92977,0.96875,0.98493,0.86613,0.97788,0.5118,1.70134,0.0011915,0.0011915,0.0011915
51,677.844,1.15611,0.67779,1.74253,0.97571,0.94162,0.98851,0.87224,0.9625,0.47285,1.69907,0.001175,0.001175,0.001175
52,690.336,1.12756,0.62992,1.73556,0.96661,0.9375,0.98583,0.86306,1.01623,0.48509,1.71787,0.0011585,0.0011585,0.0011585
